ticker,security_id,sector
ABDL,24308,NIFTY_INFRA
ABFRL,30108,NIFTY_FMCG
ABINFRA,27020,NIFTY_INFRA
ABMKNO,762528,NIFTY_IT
ACC,22,NIFTY_INFRA
ACCURACY,1465,NIFTY_MEDIA
ADANIENSOL,10217,NIFTY_ENERGY
ADANIENT,25,NIFTY_INFRA
ADANIGREEN,3563,NIFTY_ENERGY
ADANIPORTS,15083,NIFTY_INFRA
AEGISLOG,40,NIFTY_INFRA
AETHER,9810,NIFTY_PHARMA
AFFLE,11343,NIFTY_IT
ALLCARGO,13501,NIFTY_INFRA
ALOKINDS,17675,NIFTY_FMCG
AMBUJACEM,1270,NIFTY_INFRA
ANANTRAJ,13620,NIFTY_REALTY
ANGELONE,324,NIFTY_FIN_SERVICE
APCL,20453,NIFTY_INFRA
APLLTD,25328,NIFTY_PHARMA
APOLLOTYRE,163,NIFTY_AUTO
APTUS,5435,NIFTY_FIN_SERVICE
ASAHIINDIA,5378,NIFTY_AUTO
ASHOKLEY,212,NIFTY_AUTO
ASIANPAINT,236,NIFTY_FMCG
ASTERDM,1508,NIFTY_HEALTHCARE
ASTRAL,14418,NIFTY_INFRA
ATGL,6066,NIFTY_ENERGY
AUBANK,21238,NIFTY_BANK
AUROPHARMA,275,NIFTY_PHARMA
AVANTIFEED,7936,NIFTY_FMCG
AVG,15589,NIFTY_INFRA
AWL,8110,NIFTY_FMCG
AXISBANK,5900,NIFTY_BANK
BAJAJELEC,15034,NIFTY_INFRA
BAJAJFINSV,16675,NIFTY_FIN_SERVICE
BAJFINANCE,317,NIFTY_FIN_SERVICE
BALKRISIND,335,NIFTY_AUTO
BALRAMCHIN,341,NIFTY_FMCG
BANCOINDIA,13880,NIFTY_AUTO
BANG,15303,NIFTY_FMCG
BANKBARODA,4668,NIFTY_BANK
BATAINDIA,371,NIFTY_FMCG
BECTORFOOD,1628,NIFTY_FMCG
BEL,383,NIFTY_DEFENCE
BEML,395,NIFTY_DEFENCE
BERGEPAINT,404,NIFTY_FMCG
BHARATFORG,422,NIFTY_AUTO
BHARTIARTL,10604,NIFTY_INFRA
BHEL,438,NIFTY_DEFENCE
BIOCON,11373,NIFTY_PHARMA
BLS,17279,NIFTY_FIN_SERVICE
BLUESTARCO,8311,NIFTY_INFRA
BORORENEW,3149,NIFTY_REALTY
BPCL,526,NIFTY_ENERGY
BRIGADE,15184,NIFTY_REALTY
BSOFT,6994,NIFTY_IT
CAMPUS,9362,NIFTY_FMCG
CANBK,10794,NIFTY_BANK
CANFINHOME,583,NIFTY_FIN_SERVICE
CASTROLIND,1250,NIFTY_ENERGY
CDSL,21174,NIFTY_FIN_SERVICE
CENTURYPLY,13305,NIFTY_INFRA
CESC,628,NIFTY_ENERGY
CGPOWER,760,NIFTY_INFRA
CHALET,8546,NIFTY_REALTY
CHAMBLFERT,637,NIFTY_PHARMA
CHEMPLASTS,5449,NIFTY_PHARMA
CHOLAFIN,685,NIFTY_FIN_SERVICE
CIEINDIA,14937,NIFTY_AUTO
CIPLA,694,NIFTY_PHARMA
COALINDIA,20374,NIFTY_ENERGY
COCHINSHIP,21508,NIFTY_DEFENCE
COFORGE,11543,NIFTY_IT
COLPAL,15141,NIFTY_FMCG
CONCOR,4749,NIFTY_INFRA
COROMANDEL,739,NIFTY_PHARMA
CREDITACC,4421,NIFTY_FIN_SERVICE
CROMPTON,17094,NIFTY_INFRA
CYIENT,5748,NIFTY_IT
DABUR,772,NIFTY_FMCG
DCMSHRIRAM,811,NIFTY_FMCG
DEEPAKNTR,19943,NIFTY_PHARMA
DELHIVERY,9599,NIFTY_INFRA
DEVYANI,5373,NIFTY_FMCG
DLF,14732,NIFTY_REALTY
DOMS,20551,NIFTY_FMCG
DRREDDY,881,NIFTY_PHARMA
EASEMYTRIP,2792,NIFTY_INFRA
